1,109,GAL-NB-165-12,2023-08-04,48.58,0.904,12.56,8.77,0.317,3.13,6.14,0.27,0.33,0.686,81.68,18.02,59.48,1.11,15.37,10.73,0.39,3.83,7.52,0.33,0.4,0.84,51,50,18,278,111,26,94,155,73,12.9,17,49,90,6,35,42,5,39,4,1158,0.12,81.8,81.83,99.86,100.83,65.5,73.4,27.6,408.9,124.1,28.1,110.7,209,93.1,18.4,23.3,61.8,112.3,6.8,41.2,51.5,5.9,45.8,4.8,1512,0.15
1,110,GAL-NB-165-13,2023-08-04,50.89,1.723,14.59,11.1,0.177,6.37,10.88,2.22,0.53,0.3,98.78,1.02,51.52,1.74,14.78,11.24,0.18,6.44,11.02,2.24,0.54,0.3,49,103,36,281,262,13,238,140,31,11.5,19,47,96,3,15,35,3,21,1,1404,0.14,98.92,98.96,99.98,101.22,62.3,149.9,55.1,413.7,292.4,14.2,281.6,188.9,39.1,16.4,24.9,59.1,119.2,3.2,18.1,42.9,3.5,24.9,1.1,1811,0.18
1,140,GAL-NB-165-15,2023-08-04,47.82,3.326,13.12,14.24,0.216,5.88,10.3,2.37,0.68,0.775,98.72,0.95,48.44,3.37,13.29,14.42,0.22,5.96,10.43,2.4,0.69,0.78,42,184,42,361,582,12,255,271,55,26.4,22,44,149,6,35,83,2,46,1,2218,0.22,98.95,99.01,99.95,101.54,53,269.3,64.3,531.7,649.5,13.5,301.8,366.6,69.6,37.7,29.6,55.7,185.3,6.1,41.6,101.6,1.9,53.4,0.7,2833,0.28
1,123,GAL-NB-165-16,2023-08-04,47.45,3.232,12.93,14.95,0.209,4.93,10.06,2.33,0.55,0.729,97.37,2.37,48.73,3.32,13.28,15.36,0.21,5.06,10.33,2.39,0.57,0.75,36,185,41,377,807,21,257,259,53,24.8,22,45,137,7,34,72,2,45,0,2426,0.24,97.61,97.68,100.05,101.71,46.1,270.3,63.2,554.8,901.2,22.6,304,350.1,67.6,35.4,29.2,55.8,170.9,7.6,40.2,88.2,2.4,52.7,0.5,3063,0.31
1,124,GAL-NB-165-17,2023-08-04,62.15,3.716,13.99,7.31,0.09,1.53,1.89,0.92,0.46,0.021,92.08,7.83,67.5,4.04,15.19,7.94,0.1,1.66,2.06,1,0.5,0.02,20,44,15,213,259,20,159,404,13,32.1,16,27,74,17,12,42,11,11,2,1393,0.14,92.22,92.26,100.09,100.9,25,64.3,23.7,313.2,289.6,21.8,188.2,545.2,15.9,46,21.9,33.6,92.6,18.7,14,52.1,12.9,13,2.5,1794,0.18
1,125,GAL-NB-165-18,2023-08-04,46.53,3.477,13.53,14.75,0.215,4.54,10.69,2.41,0.36,1.064,97.56,2.3,47.69,3.56,13.87,15.12,0.22,4.65,10.95,2.47,0.37,1.09,29,197,43,368,474,15,270,266,59,25.2,22,30,147,5,37,79,2,51,2,2122,0.21,97.78,97.84,100.14,101.77,37.5,288.2,65.7,542,529.5,16.3,319.8,358.7,74.9,36,29.7,37.4,183.4,5.8,43.4,96.8,2.2,59,2.1,2728,0.27
1,126,GAL-NB-165-19,2023-08-04,48.4,1.022,9.96,15.99,0.302,3.96,4.99,0.44,0.79,1.645,87.5,12.23,55.32,1.17,11.38,18.27,0.35,4.53,5.7,0.51,0.9,1.88,96,41,22,218,556,70,139,186,31,24.3,22,64,88,9,21,50,3,24,4,1667,0.17,87.67,87.71,99.94,101.71,121.6,59.3,34.5,321.3,620.3,76.2,164.8,250.7,40,34.7,29.3,80,109.4,9.3,24.6,61.1,3.6,27.6,4.8,2073,0.21
1,127,GAL-NB-165-20,2023-08-04,45.95,3.398,13.45,14.03,0.222,4.36,11.78,2.4,0.35,1.711,97.65,2.28,47.05,3.48,13.78,14.36,0.23,4.46,12.06,2.46,0.36,1.75,28,190,42,367,516,13,279,268,61,25.5,22,33,146,7,37,83,2,48,3,2171,0.22,97.87,97.93,100.21,101.77,35.7,277.5,63.7,540,576,14.5,329.7,362,77.7,36.5,29.5,41.5,182.3,8,43.7,101.5,2.2,56.1,3,2781,0.28
1,129,GAL-NB-165-21,2023-08-04,48.19,3.244,12.8,14.9,0.23,4.92,9.32,1.47,0.68,0.718,96.47,3.21,49.95,3.36,13.27,15.45,0.24,5.1,9.66,1.52,0.71,0.74,34,166,40,350,624,16,227,266,54,24.4,21,49,151,8,35,77,2,44,0,2188,0.22,96.69,96.75,99.96,101.61,43.3,241.9,61.7,514.3,696.3,17.7,268.6,359.2,69.2,34.8,27.6,61,187.7,8.3,41.5,95.1,2.2,51.8,0.5,2783,0.28
1,130,GAL-NB-165-22,2023-08-04,54.44,3.169,11.45,11.89,0.212,3.18,5.11,1.15,0.66,0.34,91.6,8.22,59.43,3.46,12.5,12.98,0.23,3.47,5.58,1.25,0.72,0.37,26,107,31,214,832,28,227,283,38,22.7,16,49,108,9,29,74,3,38,2,2137,0.21,91.81,91.86,100.08,101.4,33.7,155.8,48.2,315.4,928.4,30.5,268.2,382.6,47.9,32.5,21.8,61.3,134,9.3,34.4,91,3.9,44.4,2.5,2646,0.26
1,131,GAL-NB-165-23,2023-08-04,69.22,2.965,9.5,5.86,0.113,1.25,1.69,0.65,0.57,0.039,91.85,7.78,75.36,3.23,10.34,6.38,0.12,1.36,1.84,0.7,0.63,0.04,13,18,11,202,327,29,123,357,24,18.7,12,24,50,9,27,60,5,25,2,1337,0.13,91.98,92.02,99.8,100.45,16.1,26.6,17.5,297.8,365.1,31.9,145.4,481.7,31.1,26.8,15.9,29.8,62.4,9.8,31.5,73.1,5.8,29.4,2,1700,0.17
1,132,GAL-NB-165-24,2023-08-23,49.74,3.475,12.59,14.35,0.19,3.56,8.54,2.29,0.98,0.56,96.27,3.57,51.66,3.61,13.07,14.91,0.2,3.7,8.87,2.38,1.02,0.58,14,12,33,402,499,31,237,259,53,23.3,22,22,150,7,32,71,4,39,2,1913,0.19,96.46,96.51,100.08,101.68,18,17.3,50.6,591.3,557.3,33.5,280.8,350.5,67,33.3,29.4,27.9,186.3,7.2,37.6,86.7,4.8,45.6,2.7,2428,0.24
1,133,GAL-NB-165-25,2023-08-04,80.5,0.265,3.82,2.35,0.032,1.04,1.26,0.08,0.21,0.015,89.56,10.31,89.89,0.3,4.26,2.62,0.04,1.16,1.41,0.08,0.23,0.02,5,12,5,52,213,20,43,55,14,3.3,6,8,29,1,10,11,3,10,2,502,0.05,89.61,89.62,99.92,100.19,6.7,17.4,6.9,76.9,238.4,22.1,51.1,73.8,18.2,4.7,7.6,9.4,35.5,0.9,11.6,13.7,3.4,11.5,2.3,612,0.06
1,134,GAL-NB-165-26,2023-08-23,90.66,0.113,1.59,0.72,0.019,0.39,0.57,0.09,0.11,0.017,94.3,5.81,96.14,0.12,1.69,0.77,0.02,0.42,0.61,0.1,0.12,0.02,5,10,2,40,164,10,26,23,9,0.6,1,5,12,1,7,7,1,9,3,337,0.03,94.33,94.34,100.15,100.23,5.8,15.2,2.8,59.5,182.8,10.4,30.9,30.7,11.8,0.9,1.7,5.9,15.5,1.2,8.4,9.2,1.3,10.9,3.1,408,0.04
1,135,GAL-NB-165-27,2023-08-23,52.15,3.782,13.18,14.46,0.183,3.35,7.56,1.95,0.68,0.541,97.85,1.77,53.3,3.87,13.47,14.78,0.19,3.43,7.73,1.99,0.69,0.55,12,21,32,418,573,30,235,277,162,26.3,24,25,151,14,185,196,6,193,2,2584,0.26,98.1,98.17,99.94,101.55,15.5,30,49.7,615.6,640.2,32.4,278.1,374.1,205.2,37.6,32.8,31.1,188.3,15.4,217.2,241.2,7,225.2,2.1,3239,0.32
1,136,GAL-NB-165-28,2023-08-05,50.92,3.652,13.24,13.68,0.182,3.82,8.93,2.47,1.07,0.572,98.53,1.29,51.68,3.71,13.44,13.88,0.18,3.87,9.06,2.51,1.08,0.58,14,12,33,430,498,32,246,267,53,25,22,21,159,7,32,72,6,41,1,1971,0.2,98.72,98.78,100.07,101.59,17.4,17,50.7,631.9,555.6,35.5,291.2,360.3,66.7,35.8,29.9,26.8,198.3,7.1,37.4,89.1,6.9,47.9,1.3,2507,0.25
1,137,GAL-NB-165-29,2023-08-05,50.57,3.603,12.88,13.87,0.203,3.89,8.84,2.37,0.95,0.551,97.71,2.09,51.75,3.69,13.18,14.19,0.21,3.98,9.04,2.42,0.97,0.56,15,12,35,422,445,30,244,267,52,24,23,20,149,6,32,74,5,41,1,1897,0.19,97.9,97.96,100.05,101.59,19.1,16.9,53,621,497.1,32.5,288.9,360.9,65.7,34.4,31.5,25,186,6.9,37.5,90.4,5.4,47.5,0.9,2421,0.24
1,138,GAL-NB-165-30,2023-08-05,50.47,3.554,12.83,14.91,0.209,3.48,8.59,2.36,1.08,0.575,98.06,1.66,51.47,3.62,13.09,15.2,0.21,3.55,8.76,2.41,1.1,0.59,14,13,33,422,488,31,240,265,55,25.5,23,21,150,7,33,73,5,41,2,1942,0.19,98.26,98.31,99.97,101.63,17.4,19.1,49.9,621.3,544.8,34.1,284,358.2,70.2,36.5,31,25.8,186.7,7.7,39,89.4,5.8,48.3,2,2471,0.25
1,139,GAL-NB-165-31,2023-08-05,50.57,3.57,12.84,14.77,0.21,4.22,8.67,2.41,1.25,0.548,99.06,0.44,51.05,3.6,12.96,14.91,0.21,4.26,8.75,2.43,1.26,0.55,16,10,33,421,497,31,234,267,51,24.8,23,23,155,8,33,67,5,39,1,1940,0.19,99.26,99.31,99.75,101.39,20.2,14.4,51.3,619.4,554.9,34.4,276.9,360.9,65.1,35.5,30.7,29.1,193.1,8.4,38.3,82.4,5.8,46,1,2468,0.25
1,1,GAL-NB-165-32,2023-08-05,51.69,3.219,13.46,13.77,0.157,2.54,6.46,3.08,2.02,0.831,97.23,2.33,53.16,3.31,13.85,14.16,0.16,2.61,6.64,3.17,2.08,0.85,5,0,30,276,2828,44,287,426,49,21.2,23,14,127,10,43,84,6,46,1,4317,0.43,97.66,97.74,100.07,101.6,5.8,0,45.3,405.3,3157.1,48.5,339.4,574.9,62.2,30.4,30.8,17,158,10.7,49.9,103.3,6.5,53.5,1.2,5100,0.51
